"","row","column","cor","p"
"1","Id","MSSubClass",0.0111564782013826,0.670154065158715
"2","Id","LotFrontage",-0.019761319984431,0.450545490180035
"3","MSSubClass","LotFrontage",-0.215022885769652,0
"4","Id","LotArea",-0.0332255185856849,0.204509473357187
"5","MSSubClass","LotArea",-0.139781081720146,8.19412582231394e-08
"6","LotFrontage","LotArea",0.100738809705932,0.000115380244267271
"7","Id","OverallQual",-0.0283647539375372,0.278761662252176
"8","MSSubClass","OverallQual",0.0326277075218421,0.212776555960472
"9","LotFrontage","OverallQual",0.176561022350144,1.09028341910289e-11
"10","LotArea","OverallQual",0.105805741754964,5.10550869001758e-05
"11","Id","OverallCond",0.0126089247759518,0.630237335954717
"12","MSSubClass","OverallCond",-0.0593158170841045,0.0234202531342911
"13","LotFrontage","OverallCond",-0.0534569623580946,0.041121928131034
"14","LotArea","OverallCond",-0.0056362702740994,0.829627890688834
"15","OverallQual","OverallCond",-0.0919323426390723,0.000436171965364274
"16","Id","YearBuilt",-0.0127127153878464,0.627424024423543
"17","MSSubClass","YearBuilt",0.0278501369467074,0.287579261425838
"18","LotFrontage","YearBuilt",0.0368534286495705,0.159297094160348
"19","LotArea","YearBuilt",0.0142276517570264,0.586992329522498
"20","OverallQual","YearBuilt",0.572322768962361,0
"21","OverallCond","YearBuilt",-0.375983195606989,0
"22","Id","YearRemodAdd",-0.0219976418574979,0.400958610128028
"23","MSSubClass","YearRemodAdd",0.0405810447840397,0.121163142642154
"24","LotFrontage","YearRemodAdd",0.0786855145500818,0.00262402744213874
"25","LotArea","YearRemodAdd",0.0137884270781564,0.598590288479051
"26","OverallQual","YearRemodAdd",0.550683924193989,0
"27","OverallCond","YearRemodAdd",0.0737414981452608,0.0048160900376697
"28","YearBuilt","YearRemodAdd",0.592854976343266,0
"29","Id","MasVnrArea",-0.0510714013408837,0.0510526021840836
"30","MSSubClass","MasVnrArea",0.0235729681103823,0.36808010304787
"31","LotFrontage","MasVnrArea",0.105009832968027,5.81728473774135e-05
"32","LotArea","MasVnrArea",0.10332050563046,7.65095200634391e-05
"33","OverallQual","MasVnrArea",0.407252123524013,0
"34","OverallCond","MasVnrArea",-0.125693633619537,1.45184852473612e-06
"35","YearBuilt","MasVnrArea",0.311600106828602,0
"36","YearRemodAdd","MasVnrArea",0.176529180602002,1.0997425192727e-11
"37","Id","BsmtFinSF1",-0.00502404904166103,0.8478946148557
"38","MSSubClass","BsmtFinSF1",-0.0698357491671006,0.00759882019101887
"39","LotFrontage","BsmtFinSF1",0.0766699970075725,0.00337478392856294
"40","LotArea","BsmtFinSF1",0.214103130705577,0
"41","OverallQual","BsmtFinSF1",0.239665966178891,0
"42","OverallCond","BsmtFinSF1",-0.0462308559182251,0.0774109926525619
"43","YearBuilt","BsmtFinSF1",0.249503196684797,0
"44","YearRemodAdd","BsmtFinSF1",0.128450547128238,8.46643058993735e-07
"45","MasVnrArea","BsmtFinSF1",0.261256054913163,0
"46","Id","BsmtFinSF2",-0.00596767196028162,0.819777508729554
"47","MSSubClass","BsmtFinSF2",-0.065648579188524,0.0121077925337216
"48","LotFrontage","BsmtFinSF2",-0.00931230949382296,0.722195726437884
"49","LotArea","BsmtFinSF2",0.111169745496249,2.06860563429778e-05
"50","OverallQual","BsmtFinSF2",-0.0591186926706897,0.0238856732549055
"51","OverallCond","BsmtFinSF2",0.0402291698997677,0.124425644175575
"52","YearBuilt","BsmtFinSF2",-0.0491068311962388,0.0606698293717431
"53","YearRemodAdd","BsmtFinSF2",-0.0677585135659629,0.00960293646603239
"54","MasVnrArea","BsmtFinSF2",-0.0713296276444849,0.00639827187254882
"55","BsmtFinSF1","BsmtFinSF2",-0.050117400047151,0.0555504084702874
"56","Id","BsmtUnfSF",-0.00793970335771727,0.761797974756443
"57","MSSubClass","BsmtUnfSF",-0.140759480835012,6.63758854546614e-08
"58","LotFrontage","BsmtUnfSF",0.160829276822744,6.39849506711698e-10
"59","LotArea","BsmtUnfSF",-0.00261835995009534,0.92037459410208
"60","OverallQual","BsmtUnfSF",0.308158926905643,0
"61","OverallCond","BsmtUnfSF",-0.136840569893523,1.53009013015293e-07
"62","YearBuilt","BsmtUnfSF",0.149040391954395,1.05318649357145e-08
"63","YearRemodAdd","BsmtUnfSF",0.181133087050111,3.10462766606179e-12
"64","MasVnrArea","BsmtUnfSF",0.113862163081612,1.29392165018061e-05
"65","BsmtFinSF1","BsmtUnfSF",-0.495251469257012,0
"66","BsmtFinSF2","BsmtUnfSF",-0.209294492419945,6.66133814775094e-16
"67","Id","TotalBsmtSF",-0.015414566107911,0.556183154504893
"68","MSSubClass","TotalBsmtSF",-0.238518409315119,0
"69","LotFrontage","TotalBsmtSF",0.238273668696828,0
"70","LotArea","TotalBsmtSF",0.260833134545157,0
"71","OverallQual","TotalBsmtSF",0.537808498612391,0
"72","OverallCond","TotalBsmtSF",-0.171097514624922,4.68527439068112e-11
"73","YearBuilt","TotalBsmtSF",0.391452002066091,0
"74","YearRemodAdd","TotalBsmtSF",0.291065582604059,0
"75","MasVnrArea","TotalBsmtSF",0.360067368053638,0
"76","BsmtFinSF1","TotalBsmtSF",0.522396051992386,0
"77","BsmtFinSF2","TotalBsmtSF",0.104809537606368,6.01065968319769e-05
"78","BsmtUnfSF","TotalBsmtSF",0.415359605181589,0
"79","Id","X1stFlrSF",0.010496040954083,0.688625771330298
"80","MSSubClass","X1stFlrSF",-0.251758351878379,0
"81","LotFrontage","X1stFlrSF",0.245180931443891,0
"82","LotArea","X1stFlrSF",0.299474578507763,0
"83","OverallQual","X1stFlrSF",0.476223829078178,0
"84","OverallCond","X1stFlrSF",-0.14420278404906,3.12634844679138e-08
"85","YearBuilt","X1stFlrSF",0.281985858699806,0
"86","YearRemodAdd","X1stFlrSF",0.240379267603485,0
"87","MasVnrArea","X1stFlrSF",0.33985041368325,0
"88","BsmtFinSF1","X1stFlrSF",0.445862656092005,0
"89","BsmtFinSF2","X1stFlrSF",0.0971174484566701,0.000202031925892632
"90","BsmtUnfSF","X1stFlrSF",0.317987438352726,0
"91","TotalBsmtSF","X1stFlrSF",0.819529975005033,0
"92","Id","X2ndFlrSF",0.00558984888615865,0.831009868243611
"93","MSSubClass","X2ndFlrSF",0.307885720759859,0
"94","LotFrontage","X2ndFlrSF",0.0425492440723087,0.104131066254759
"95","LotArea","X2ndFlrSF",0.0509859482934938,0.0514426563844519
"96","OverallQual","X2ndFlrSF",0.295492879199709,0
"97","OverallCond","X2ndFlrSF",0.0289421159658167,0.269089825570578
"98","YearBuilt","X2ndFlrSF",0.0103076595843644,0.693929373536874
"99","YearRemodAdd","X2ndFlrSF",0.140023778804815,7.77796178574874e-08
"100","MasVnrArea","X2ndFlrSF",0.173800000435576,2.29123386930041e-11
"101","BsmtFinSF1","X2ndFlrSF",-0.137078986080054,1.4552474913998e-07
"102","BsmtFinSF2","X2ndFlrSF",-0.0992603160226442,0.000145358697404063
"103","BsmtUnfSF","X2ndFlrSF",0.00446909214454233,0.864523857607245
"104","TotalBsmtSF","X2ndFlrSF",-0.17451195013496,1.8940848889315e-11
"105","X1stFlrSF","X2ndFlrSF",-0.202646181002321,5.32907051820075e-15
"106","Id","LowQualFinSF",-0.0442299580865914,0.091142116121242
"107","MSSubClass","LowQualFinSF",0.0464737558995172,0.0758652064515841
"108","LotFrontage","LowQualFinSF",0.0499814302017865,0.0562175463401156
"109","LotArea","LowQualFinSF",0.00477896986634956,0.855230513380156
"110","OverallQual","LowQualFinSF",-0.0304292839796049,0.245245814761744
"111","OverallCond","LowQualFinSF",0.0254943199142137,0.330324501059801
"112","YearBuilt","LowQualFinSF",-0.183784344373718,1.47593048893668e-12
"113","YearRemodAdd","LowQualFinSF",-0.0624191000783123,0.0170645564706322
"114","MasVnrArea","LowQualFinSF",-0.0686279799073381,0.00871289697080058
"115","BsmtFinSF1","LowQualFinSF",-0.0645025969214686,0.0136976116447185
"116","BsmtFinSF2","LowQualFinSF",0.0148069979468337,0.571855447394464
"117","BsmtUnfSF","LowQualFinSF",0.0281666881327412,0.282133383184078
"118","TotalBsmtSF","LowQualFinSF",-0.0332453873474564,0.204238774620283
"119","X1stFlrSF","LowQualFinSF",-0.0142406726664312,0.586650097791088
"120","X2ndFlrSF","LowQualFinSF",0.0633529501093229,0.0154748217074903
"121","Id","GrLivArea",0.00827275766181023,0.75212677219359
"122","MSSubClass","GrLivArea",0.0748531796577996,0.00421373431070826
"123","LotFrontage","GrLivArea",0.220347231722138,0
"124","LotArea","GrLivArea",0.263116167167148,0
"125","OverallQual","GrLivArea",0.59300743002865,0
"126","OverallCond","GrLivArea",-0.0796858653883382,0.00231113816006023
"127","YearBuilt","GrLivArea",0.199009713676439,1.66533453693773e-14
"128","YearRemodAdd","GrLivArea",0.287388519650237,0
"129","MasVnrArea","GrLivArea",0.38805205222176,0
"130","BsmtFinSF1","GrLivArea",0.208171130145327,8.88178419700125e-16
"131","BsmtFinSF2","GrLivArea",-0.00963989155180542,0.712848772527432
"132","BsmtUnfSF","GrLivArea",0.240257268349935,0
"133","TotalBsmtSF","GrLivArea",0.454868202547902,0
"134","X1stFlrSF","GrLivArea",0.566023968935749,0
"135","X2ndFlrSF","GrLivArea",0.687501064166604,0
"136","LowQualFinSF","GrLivArea",0.134682813006601,2.39968839910176e-07
"137","Id","BsmtFullBath",0.0022885556008339,0.93037677578021
"138","MSSubClass","BsmtFullBath",0.00349102577904482,0.893973475679299
"139","LotFrontage","BsmtFullBath",0.0105143334451318,0.688111581501363
"140","LotArea","BsmtFullBath",0.158154531060015,1.2307999064376e-09
"141","OverallQual","BsmtFullBath",0.111097786142302,2.09440678082817e-05
"142","OverallCond","BsmtFullBath",-0.0549415154329518,0.0358080996924883
"143","YearBuilt","BsmtFullBath",0.187598549997143,4.9649173661237e-13
"144","YearRemodAdd","BsmtFullBath",0.119469879111197,4.70721590306589e-06
"145","MasVnrArea","BsmtFullBath",0.083010047801358,0.00150057197604858
"146","BsmtFinSF1","BsmtFullBath",0.649211753574265,0
"147","BsmtFinSF2","BsmtFullBath",0.158678060781701,1.083814371583e-09
"148","BsmtUnfSF","BsmtFullBath",-0.422900477383213,0
"149","TotalBsmtSF","BsmtFullBath",0.307350553735503,0
